96; 54.71; 480;
57; 618.92; 27;
25; 913.26; 358;
89; 900.11; 293;
57; 45.90; 376;
79; 608.43; 431;
94; 893.49; 442;
12; 134.45; 128;
2; 376.51; 258;
44; 35.97; 52;
82; 819.36; 453;
77; 546.01; 139;
80; 42.63; 396;
70; 874.25; 253;
67; 584.34; 195;
88; 479.69; 197;
72; 370.11; 303;
51; 795.04; 279;
15; 298.98; 203;
13; 281.69; 492;
80; 52.84; 119;
62; 112.64; 461;
84; 380.80; 222;
89; 367.12; 152;
27; 895.67; 320;
35; 203.38; 46;
32; 990.52; 378;
51; 974.80; 437;
93; 948.37; 491;
77; 762.80; 323;
42; 368.32; 412;
0; 593.57; 198;
